T_SIGN	BLOCK	ACTUAL_PE	PE_AVE	ERROR
1	1	-5.4725	-5.4725	0
1	2	-5.46964	-5.47107	0.00100848
1	3	-5.46742	-5.46985	0.0012001
1	4	-5.46492	-5.46862	0.00139656
1	5	-5.46246	-5.46739	0.00156902
1	6	-5.4605	-5.46624	0.00167574
1	7	-5.45813	-5.46508	0.00179266
1	8	-5.4549	-5.46381	0.00196908
1	9	-5.45248	-5.46255	0.00211502
1	10	-5.45039	-5.46133	0.00222571
1	11	-5.44774	-5.4601	0.00234141
1	12	-5.44557	-5.45889	0.00243927
1	13	-5.44342	-5.4577	0.00252532
1	14	-5.44157	-5.45655	0.00259449
1	15	-5.4391	-5.45538	0.00266942
1	16	-5.43676	-5.45422	0.00274457
1	17	-5.43468	-5.45307	0.00281352
1	18	-5.43238	-5.45192	0.00288236
1	19	-5.43001	-5.45077	0.00295231
1	20	-5.42739	-5.4496	0.00302721
1	21	-5.42467	-5.44841	0.00310714
1	22	-5.42167	-5.4472	0.00319476
1	23	-5.419	-5.44597	0.0032826
1	24	-5.41604	-5.44472	0.00337437
1	25	-5.41309	-5.44346	0.0034685
1	26	-5.40955	-5.44215	0.00357183
1	27	-5.40634	-5.44083	0.0036776
1	28	-5.40286	-5.43947	0.00378802
1	29	-5.39883	-5.43807	0.00390811
1	30	-5.39502	-5.43664	0.00403269
1	31	-5.39102	-5.43516	0.00416242
1	32	-5.38716	-5.43366	0.00429415
1	33	-5.38378	-5.43215	0.00442204
1	34	-5.38018	-5.43062	0.00454854
1	35	-5.37684	-5.42909	0.00467099
1	36	-5.37441	-5.42757	0.00478178
1	37	-5.37114	-5.42604	0.00488969
1	38	-5.36797	-5.42451	0.0049941
1	39	-5.3651	-5.42299	0.00509314
1	40	-5.36345	-5.4215	0.00517873
1	41	-5.36111	-5.42003	0.0052577
1	42	-5.35961	-5.41859	0.00532568
1	43	-5.35866	-5.4172	0.00538114
1	44	-5.3578	-5.41585	0.00542551
1	45	-5.35826	-5.41457	0.00545377
1	46	-5.35821	-5.41334	0.00547111
1	47	-5.35913	-5.41219	0.00547492
1	48	-5.36011	-5.4111	0.0054673
1	49	-5.36111	-5.41008	0.00545009
1	50	-5.36225	-5.40913	0.0054244
1	51	-5.36333	-5.40823	0.00539185
1	52	-5.36494	-5.4074	0.00535205
1	53	-5.36747	-5.40664	0.00530383
1	54	-5.36953	-5.40596	0.00524995
1	55	-5.3717	-5.40533	0.00519132
1	56	-5.37408	-5.40478	0.00512853
1	57	-5.37635	-5.40428	0.00506274
1	58	-5.37832	-5.40383	0.00499519
1	59	-5.38073	-5.40344	0.00492584
1	60	-5.38311	-5.4031	0.00485538
1	61	-5.38544	-5.40281	0.00478441
1	62	-5.38725	-5.40256	0.00471382
1	63	-5.3896	-5.40235	0.00464348
1	64	-5.39186	-5.40219	0.00457382
1	65	-5.39435	-5.40207	0.00450505
1	66	-5.39629	-5.40198	0.00443764
1	67	-5.39799	-5.40192	0.0043718
1	68	-5.39991	-5.40189	0.00430761
1	69	-5.40157	-5.40189	0.00424519
1	70	-5.40314	-5.4019	0.00418458
1	71	-5.40477	-5.40195	0.00412583
1	72	-5.40613	-5.402	0.00406894
1	73	-5.40724	-5.40207	0.00401383
1	74	-5.40808	-5.40216	0.00396041
1	75	-5.40986	-5.40226	0.00390894
1	76	-5.41046	-5.40237	0.003859
1	77	-5.41137	-5.40248	0.00381065
1	78	-5.4117	-5.4026	0.00376363
1	79	-5.41218	-5.40272	0.00371794
1	80	-5.41237	-5.40284	0.00367342
1	81	-5.41256	-5.40296	0.00363003
1	82	-5.41261	-5.40308	0.00358766
1	83	-5.41266	-5.4032	0.0035463
1	84	-5.41259	-5.40331	0.00350584
1	85	-5.41178	-5.40341	0.00346601
1	86	-5.41117	-5.4035	0.00342688
1	87	-5.41062	-5.40358	0.00338847
1	88	-5.41016	-5.40365	0.00335079
1	89	-5.40936	-5.40372	0.00331375
1	90	-5.40841	-5.40377	0.00327734
1	91	-5.40749	-5.40381	0.00324158
1	92	-5.4074	-5.40385	0.00320658
1	93	-5.40741	-5.40389	0.00317233
1	94	-5.40682	-5.40392	0.00313874
1	95	-5.40657	-5.40395	0.00310582
1	96	-5.40638	-5.40397	0.00307357
1	97	-5.40704	-5.40401	0.00304205
1	98	-5.40782	-5.40404	0.00301126
1	99	-5.40874	-5.40409	0.00298122
1	100	-5.40981	-5.40415	0.00295195
1	101	-5.41117	-5.40422	0.00292354
1	102	-5.41252	-5.4043	0.00289601
1	103	-5.41461	-5.4044	0.00286962
1	104	-5.41709	-5.40452	0.00284463
1	105	-5.41996	-5.40467	0.00282133
1	106	-5.423	-5.40484	0.00280001
1	107	-5.42619	-5.40504	0.00278094
1	108	-5.42887	-5.40526	0.00276393
1	109	-5.43159	-5.4055	0.0027491
1	110	-5.43462	-5.40577	0.00273683
1	111	-5.4376	-5.40606	0.00272715
1	112	-5.44049	-5.40636	0.00272007
1	113	-5.44324	-5.40669	0.00271551
1	114	-5.44568	-5.40703	0.00271314
1	115	-5.44838	-5.40739	0.00271327
1	116	-5.45041	-5.40776	0.00271511
1	117	-5.45205	-5.40814	0.00271816
1	118	-5.4539	-5.40853	0.00272265
1	119	-5.45549	-5.40892	0.00272822
1	120	-5.45622	-5.40932	0.00273381
1	121	-5.45746	-5.40971	0.00274002
1	122	-5.45816	-5.41011	0.00274619
1	123	-5.45819	-5.4105	0.00275153
1	124	-5.45846	-5.41089	0.00275639
1	125	-5.45915	-5.41128	0.00276124
1	126	-5.45907	-5.41165	0.00276526
1	127	-5.45932	-5.41203	0.00276885
1	128	-5.45916	-5.4124	0.00277159
1	129	-5.45892	-5.41276	0.00277347
1	130	-5.45864	-5.41311	0.0027745
1	131	-5.45804	-5.41345	0.00277444
1	132	-5.45715	-5.41379	0.0027731
1	133	-5.45676	-5.41411	0.00277101
1	134	-5.4569	-5.41443	0.00276867
1	135	-5.45729	-5.41475	0.00276631
1	136	-5.4569	-5.41506	0.00276327
1	137	-5.45711	-5.41536	0.0027601
1	138	-5.4572	-5.41567	0.0027567
1	139	-5.45808	-5.41597	0.0027537
1	140	-5.45886	-5.41628	0.00275103
1	141	-5.45941	-5.41658	0.00274847
1	142	-5.4611	-5.4169	0.00274694
1	143	-5.46258	-5.41722	0.00274624
1	144	-5.4643	-5.41754	0.00274656
1	145	-5.4658	-5.41788	0.00274772
1	146	-5.46801	-5.41822	0.00275027
1	147	-5.47105	-5.41858	0.00275494
1	148	-5.47357	-5.41895	0.00276127
1	149	-5.47586	-5.41933	0.00276903
1	150	-5.47926	-5.41973	0.00277924
1	151	-5.4821	-5.42014	0.00279136
1	152	-5.48542	-5.42057	0.00280583
1	153	-5.48875	-5.42102	0.00282265
1	154	-5.49252	-5.42148	0.00284224
1	155	-5.49641	-5.42197	0.00286472
1	156	-5.50009	-5.42247	0.0028898
1	157	-5.50386	-5.42299	0.00291752
1	158	-5.50783	-5.42352	0.00294806
1	159	-5.51184	-5.42408	0.00298139
1	160	-5.51526	-5.42465	0.00301674
1	161	-5.51913	-5.42524	0.00305455
1	162	-5.52297	-5.42584	0.0030947
1	163	-5.52677	-5.42646	0.00313704
1	164	-5.53049	-5.42709	0.0031814
1	165	-5.53444	-5.42774	0.00322796
1	166	-5.53783	-5.42841	0.00327593
1	167	-5.5411	-5.42908	0.00332509
1	168	-5.54438	-5.42977	0.00337538
1	169	-5.54797	-5.43047	0.0034271
1	170	-5.55124	-5.43118	0.0034798
1	171	-5.55417	-5.4319	0.003533
1	172	-5.55692	-5.43262	0.00358646
1	173	-5.55946	-5.43336	0.0036399
1	174	-5.56195	-5.4341	0.00369324
1	175	-5.56422	-5.43484	0.00374624
1	176	-5.56611	-5.43559	0.00379847
1	177	-5.56792	-5.43633	0.00384989
1	178	-5.56951	-5.43708	0.00390028
1	179	-5.57086	-5.43783	0.00394945
1	180	-5.57154	-5.43857	0.00399676
1	181	-5.57261	-5.43931	0.0040427
1	182	-5.57315	-5.44005	0.00408683
1	183	-5.5735	-5.44078	0.00412905
1	184	-5.57364	-5.4415	0.00416927
1	185	-5.57391	-5.44221	0.00420772
1	186	-5.57371	-5.44292	0.00424407
1	187	-5.57366	-5.44362	0.00427857
1	188	-5.57333	-5.44431	0.00431109
1	189	-5.57275	-5.44499	0.00434151
1	190	-5.57163	-5.44566	0.00436952
1	191	-5.57089	-5.44631	0.00439557
1	192	-5.57027	-5.44696	0.00441983
1	193	-5.56933	-5.44759	0.00444218
1	194	-5.56916	-5.44822	0.00446326
1	195	-5.56902	-5.44884	0.00448316
1	196	-5.56849	-5.44945	0.00450166
1	197	-5.56789	-5.45005	0.00451878
1	198	-5.5677	-5.45064	0.00453486
1	199	-5.56718	-5.45123	0.00454972
1	200	-5.5668	-5.45181	0.00456352
1	201	-5.56733	-5.45238	0.00457687
1	202	-5.56728	-5.45295	0.00458942
1	203	-5.56756	-5.45352	0.00460141
1	204	-5.56758	-5.45407	0.0046127
1	205	-5.56839	-5.45463	0.00462378
1	206	-5.56894	-5.45519	0.00463451
1	207	-5.57029	-5.45574	0.00464536
1	208	-5.57167	-5.4563	0.00465634
1	209	-5.57352	-5.45686	0.00466772
1	210	-5.57494	-5.45742	0.00467924
1	211	-5.5768	-5.45799	0.00469114
1	212	-5.57894	-5.45856	0.00470358
1	213	-5.58059	-5.45913	0.00471626
1	214	-5.58279	-5.45971	0.00472948
1	215	-5.58506	-5.46029	0.00474329
1	216	-5.58739	-5.46088	0.00475768
1	217	-5.58976	-5.46148	0.00477268
1	218	-5.59214	-5.46208	0.00478828
1	219	-5.59378	-5.46268	0.00480403
1	220	-5.59601	-5.46328	0.00482027
1	221	-5.59883	-5.4639	0.00483733
1	222	-5.60088	-5.46451	0.00485473
1	223	-5.60321	-5.46514	0.00487264
1	224	-5.60492	-5.46576	0.00489069
1	225	-5.6072	-5.46639	0.00490918
1	226	-5.60917	-5.46702	0.00492795
1	227	-5.61128	-5.46766	0.00494705
1	228	-5.61323	-5.46829	0.00496638
1	229	-5.61533	-5.46894	0.00498603
1	230	-5.61774	-5.46958	0.00500615
1	231	-5.61984	-5.47023	0.00502656
1	232	-5.62224	-5.47089	0.00504742
1	233	-5.62418	-5.47155	0.00506845
1	234	-5.6264	-5.47221	0.00508981
1	235	-5.62829	-5.47287	0.0051113
1	236	-5.63011	-5.47354	0.00513289
1	237	-5.63201	-5.47421	0.0051546
1	238	-5.63349	-5.47488	0.0051762
1	239	-5.63514	-5.47555	0.00519779
1	240	-5.63692	-5.47622	0.00521944
1	241	-5.6382	-5.47689	0.00524088
1	242	-5.6385	-5.47756	0.0052616
1	243	-5.63946	-5.47823	0.00528197
1	244	-5.64015	-5.47889	0.00530184
1	245	-5.64068	-5.47955	0.00532117
1	246	-5.64061	-5.4802	0.00533967
1	247	-5.64005	-5.48085	0.00535712
1	248	-5.63915	-5.48149	0.00537341
1	249	-5.63746	-5.48212	0.00538822
1	250	-5.63618	-5.48273	0.00540179
1	251	-5.63442	-5.48334	0.00541397
1	252	-5.63277	-5.48393	0.00542486
1	253	-5.63005	-5.48451	0.00543407
1	254	-5.62716	-5.48507	0.00544163
1	255	-5.62368	-5.48561	0.00544737
1	256	-5.61992	-5.48614	0.0054513
1	257	-5.6165	-5.48664	0.00545364
1	258	-5.61223	-5.48713	0.00545418
1	259	-5.60832	-5.4876	0.00545316
1	260	-5.60375	-5.48805	0.00545045
1	261	-5.59897	-5.48847	0.00544611
1	262	-5.59432	-5.48887	0.00544029
1	263	-5.58994	-5.48926	0.00543316
1	264	-5.58511	-5.48962	0.0054247
1	265	-5.58013	-5.48996	0.00541496
1	266	-5.57456	-5.49028	0.00540394
1	267	-5.56917	-5.49058	0.00539177
1	268	-5.56382	-5.49085	0.00537857
1	269	-5.55806	-5.4911	0.00536438
1	270	-5.55249	-5.49133	0.00534933
1	271	-5.54639	-5.49153	0.00533345
1	272	-5.5402	-5.49171	0.00531684
1	273	-5.53438	-5.49187	0.00529966
1	274	-5.52895	-5.492	0.00528205
1	275	-5.52315	-5.49211	0.00526405
1	276	-5.51684	-5.4922	0.00524574
1	277	-5.51109	-5.49227	0.00522725
1	278	-5.50455	-5.49232	0.00520863
1	279	-5.49813	-5.49234	0.00519
1	280	-5.49216	-5.49234	0.00517147
1	281	-5.48573	-5.49231	0.00515312
1	282	-5.47992	-5.49227	0.00513503
1	283	-5.474	-5.4922	0.00511729
1	284	-5.46767	-5.49212	0.0051
1	285	-5.46172	-5.49201	0.00508322
1	286	-5.45496	-5.49188	0.0050671
1	287	-5.44877	-5.49173	0.00505167
1	288	-5.44302	-5.49156	0.00503696
1	289	-5.43758	-5.49138	0.005023
1	290	-5.43171	-5.49117	0.00500989
1	291	-5.4271	-5.49095	0.00499751
1	292	-5.42226	-5.49071	0.00498592
1	293	-5.4175	-5.49046	0.00497517
1	294	-5.41269	-5.4902	0.00496527
1	295	-5.40875	-5.48992	0.00495611
1	296	-5.40463	-5.48964	0.00494774
1	297	-5.40034	-5.48934	0.0049402
1	298	-5.3968	-5.48902	0.00493338
1	299	-5.39341	-5.48871	0.00492723
1	300	-5.39047	-5.48838	0.00492167
1	301	-5.38769	-5.48804	0.00491668
1	302	-5.38537	-5.4877	0.00491214
1	303	-5.38367	-5.48736	0.00490791
1	304	-5.38229	-5.48701	0.00490392
1	305	-5.38152	-5.48667	0.00490002
1	306	-5.38048	-5.48632	0.00489628
1	307	-5.38023	-5.48598	0.00489251
1	308	-5.37972	-5.48563	0.00488878
1	309	-5.37956	-5.48529	0.00488499
1	310	-5.38021	-5.48495	0.00488098
1	311	-5.3814	-5.48462	0.00487663
1	312	-5.38222	-5.48429	0.00487203
1	313	-5.38376	-5.48397	0.00486704
1	314	-5.38586	-5.48365	0.00486156
1	315	-5.38856	-5.48335	0.00485549
1	316	-5.39157	-5.48306	0.0048488
1	317	-5.39504	-5.48278	0.00484145
1	318	-5.39899	-5.48252	0.00483339
1	319	-5.40357	-5.48227	0.00482457
1	320	-5.40864	-5.48204	0.00481498
1	321	-5.41403	-5.48183	0.00480464
1	322	-5.41989	-5.48164	0.00479356
1	323	-5.42666	-5.48147	0.00478174
1	324	-5.4331	-5.48132	0.00476932
1	325	-5.4404	-5.48119	0.0047563
1	326	-5.44733	-5.48109	0.00474285
1	327	-5.45518	-5.48101	0.004729
1	328	-5.46303	-5.48096	0.0047149
1	329	-5.47157	-5.48093	0.00470066
1	330	-5.4803	-5.48092	0.00468642
1	331	-5.48856	-5.48095	0.00467231
1	332	-5.49737	-5.481	0.0046585
1	333	-5.5059	-5.48107	0.00464511
1	334	-5.51471	-5.48117	0.0046323
1	335	-5.52345	-5.4813	0.00462019
1	336	-5.53206	-5.48145	0.00460891
1	337	-5.5405	-5.48163	0.00459856
1	338	-5.54872	-5.48182	0.00458924
1	339	-5.55654	-5.48204	0.00458099
1	340	-5.56377	-5.48228	0.00457382
1	341	-5.57158	-5.48255	0.00456789
1	342	-5.57843	-5.48283	0.00456313
1	343	-5.58506	-5.48312	0.00455955
1	344	-5.5916	-5.48344	0.00455719
1	345	-5.59712	-5.48377	0.00455588
1	346	-5.60328	-5.48412	0.00455579
1	347	-5.60825	-5.48447	0.00455668
1	348	-5.61278	-5.48484	0.00455848
1	349	-5.61627	-5.48522	0.00456095
1	350	-5.62007	-5.4856	0.00456416
1	351	-5.62314	-5.486	0.00456795
1	352	-5.62593	-5.48639	0.00457223
1	353	-5.62829	-5.48679	0.00457692
1	354	-5.63085	-5.4872	0.00458204
1	355	-5.6324	-5.48761	0.00458735
1	356	-5.63342	-5.48802	0.00459272
1	357	-5.63452	-5.48843	0.00459815
1	358	-5.63482	-5.48884	0.00460345
1	359	-5.63508	-5.48925	0.00460862
1	360	-5.63473	-5.48965	0.0046135
1	361	-5.63468	-5.49005	0.00461818
1	362	-5.63376	-5.49045	0.00462245
1	363	-5.63259	-5.49084	0.00462627
1	364	-5.63148	-5.49123	0.00462967
1	365	-5.62987	-5.49161	0.00463254
1	366	-5.62776	-5.49198	0.0046348
1	367	-5.62625	-5.49235	0.00463659
1	368	-5.62461	-5.4927	0.0046379
1	369	-5.62254	-5.49306	0.00463865
1	370	-5.62023	-5.4934	0.00463883
1	371	-5.618	-5.49374	0.00463847
1	372	-5.61543	-5.49406	0.00463753
1	373	-5.61314	-5.49438	0.00463607
1	374	-5.61055	-5.49469	0.00463406
1	375	-5.60814	-5.495	0.00463157
1	376	-5.60594	-5.49529	0.00462864
1	377	-5.6035	-5.49558	0.00462526
1	378	-5.60131	-5.49586	0.00462147
1	379	-5.59939	-5.49613	0.00461734
1	380	-5.5979	-5.4964	0.00461295
1	381	-5.59656	-5.49666	0.00460833
1	382	-5.59479	-5.49692	0.00460342
