INITIAL DISTRIBUTION	DELTA
16	3.20555	3.39411	0.1605	0.26	0.0492228
17	3.39411	3.58267	0.0705	0.172719	0.0458338
18	3.58267	3.77124	0.1285	0.0764688	0.0214762
19	3.77124	3.9598	0	0.10375	0.050673
20	3.9598	4.14836	0	0.0279688	0.0134029
21	4.14836	4.33692	0	0.0075625	0.00590482
22	4.33692	4.52548	0	0.00778125	0.00753416
23	4.52548	4.71405	0	0	0
24	4.71405	4.90261	0	0	0
25	4.90261	5.09117	0	0	0
26	5.09117	5.27973	0	0	0
27	5.27973	5.46829	0	0	0
28	5.46829	5.65685	0	0	0
29	5.65685	5.84542	0	0	0

0	0.188562	0.377124	1.187	1.28615	0.173177
1	0.377124	0.565685	2.0245	2.68562	0.267432
2	0.565685	0.754247	4.9575	5.57009	0.505568
3	0.754247	0.942809	7.0875	6.61029	0.530689
4	0.942809	1.13137	8.763	9.58615	0.637376
5	1.13137	1.31993	14.2675	11.2661	0.714006
6	1.31993	1.50849	12.8535	17.2431	4.00142
7	1.50849	1.69706	12.74	12.8734	0.85198
8	1.69706	1.88562	11.659	10.7285	0.443033
9	1.88562	2.07418	9.27	9.47926	0.600973
10	2.07418	2.26274	7.609	7.37824	0.522386
11	2.26274	2.4513	5.1935	5.00426	0.473822
12	2.4513	2.63987	3.696	3.33774	0.28403
13	2.63987	2.82843	2.603	1.92829	0.161262
14	2.82843	3.01699	1.5305	1.49474	0.185696
15	3.01699	3.20555	0.854	0.551176	0.0720043
16	3.20555	3.39411	0.5445	0.276735	0.0490899
17	3.39411	3.58267	0.4665	0.19	0.0462811
18	3.58267	3.77124	0.12	0.0790294	0.020365
19	3.77124	3.9598	0.3005	0.115324	0.0489961
20	3.9598	4.14836	0.1085	0.0327059	0.0134256
21	4.14836	4.33692	0.1245	0.0144412	0.00868438
22	4.33692	4.52548	0.04	0.00967647	0.00732547
23	4.52548	4.71405	0	0	0
24	4.71405	4.90261	0	0	0
25	4.90261	5.09117	0	0	0
26	5.09117	5.27973	0	0	0
27	5.27973	5.46829	0	0	0
28	5.46829	5.65685	0	0	0
29	5.65685	5.84542	0	0	0

0	0.188562	0.377124	0.086	1.21947	0.175924
1	0.377124	0.565685	0.6125	2.57044	0.276265
2	0.565685	0.754247	5.5325	5.568	0.477485
3	0.754247	0.942809	9.47	6.76917	0.524448
4	0.942809	1.13137	12.1785	9.73017	0.618023
5	1.13137	1.31993	12.47	11.333	0.677464
6	1.31993	1.50849	14.147	17.0711	3.78282
7	1.50849	1.69706	11.602	12.8028	0.80757
8	1.69706	1.88562	9.6595	10.6691	0.422383
9	1.88562	2.07418	9.888	9.50197	0.568015
10	2.07418	2.26274	6.645	7.3375	0.49495
11	2.26274	2.4513	4.1295	4.95567	0.449984
12	2.4513	2.63987	4.8455	3.4215	0.28033
13	2.63987	2.82843	2.6055	1.96592	0.15663
14	2.82843	3.01699	1.6265	1.50206	0.175523
15	3.01699	3.20555	1.0365	0.578139	0.0728775
16	3.20555	3.39411	0.2505	0.275278	0.0463843
17	3.39411	3.58267	0.5045	0.207472	0.0468921
18	3.58267	3.77124	0.519	0.103472	0.0305645
19	3.77124	3.9598	0.019	0.109972	0.0465654
20	3.9598	4.14836	0.0035	0.0310833	0.0127774
21	4.14836	4.33692	0.144	0.0216389	0.0107796
22	4.33692	4.52548	0.022	0.0103611	0.00695042
23	4.52548	4.71405	0	0	0
24	4.71405	4.90261	0	0	0
25	4.90261	5.09117	0	0	0
26	5.09117	5.27973	0	0	0
27	5.27973	5.46829	0	0	0
28	5.46829	5.65685	0	0	0
29	5.65685	5.84542	0	0	0

0	0.188562	0.377124	0.611	1.18745	0.169555
1	0.377124	0.565685	2.4305	2.56308	0.261823
2	0.565685	0.754247	4.6325	5.51876	0.454886
3	0.754247	0.942809	10.977	6.99063	0.541591
4	0.942809	1.13137	11.4425	9.82029	0.59203
5	1.13137	1.31993	11.7905	11.3571	0.642236
6	1.31993	1.50849	11.424	16.7738	3.59538
7	1.50849	1.69706	10.882	12.7017	0.771368
8	1.69706	1.88562	9.816	10.6242	0.402531
9	1.88562	2.07418	10.013	9.52887	0.538756
10	2.07418	2.26274	7.7655	7.36003	0.469412
11	2.26274	2.4513	5.6365	4.9915	0.427725
12	2.4513	2.63987	3.7735	3.44003	0.266188
13	2.63987	2.82843	2.886	2.01434	0.155693
14	2.82843	3.01699	1.7945	1.51745	0.166959
15	3.01699	3.20555	0.687	0.583868	0.0692667
16	3.20555	3.39411	0.428	0.283316	0.0446341
17	3.39411	3.58267	0.142	0.204026	0.0445506
18	3.58267	3.77124	0.015	0.0988158	0.0293084
19	3.77124	3.9598	0.002	0.104289	0.04446
20	3.9598	4.14836	0.002	0.0295526	0.0121962
21	4.14836	4.33692	0.5895	0.0515263	0.0308308
22	4.33692	4.52548	0.1135	0.0157895	0.00844235
23	4.52548	4.71405	0.096	0.00505263	0.00491787
24	4.71405	4.90261	0	0	0
25	4.90261	5.09117	0	0	0
26	5.09117	5.27973	0	0	0
27	5.27973	5.46829	0	0	0
28	5.46829	5.65685	0	0	0
29	5.65685	5.84542	0	0	0

0	0.188562	0.377124	1.7675	1.21645	0.163538
1	0.377124	0.565685	4.1935	2.6446	0.261114
2	0.565685	0.754247	5.975	5.54157	0.432713
3	0.754247	0.942809	6.348	6.9585	0.515464
4	0.942809	1.13137	10.1465	9.8366	0.562653
5	1.13137	1.31993	9.1635	11.2474	0.619419
6	1.31993	1.50849	13.48	16.6091	3.41938
7	1.50849	1.69706	13.2455	12.7289	0.733279
8	1.69706	1.88562	9.3375	10.5599	0.387512
9	1.88562	2.07418	10.496	9.57723	0.513984
10	2.07418	2.26274	7.621	7.37308	0.446123
11	2.26274	2.4513	5.9105	5.03745	0.408799
12	2.4513	2.63987	3.6915	3.4526	0.253175
13	2.63987	2.82843	2.9825	2.06275	0.155251
14	2.82843	3.01699	2.109	1.54703	0.16121
15	3.01699	3.20555	0.7715	0.59325	0.0664357
16	3.20555	3.39411	0.334	0.28585	0.0424743
17	3.39411	3.58267	0.2215	0.2049	0.0423316
18	3.58267	3.77124	0.0175	0.09475	0.0281236
19	3.77124	3.9598	0	0.099075	0.0425417
20	3.9598	4.14836	0	0.028075	0.0116756
21	4.14836	4.33692	0	0.04895	0.0293967
22	4.33692	4.52548	0	0.015	0.00805706
23	4.52548	4.71405	0	0.0048	0.00467846
24	4.71405	4.90261	0	0	0
25	4.90261	5.09117	0	0	0
26	5.09117	5.27973	0	0	0
27	5.27973	5.46829	0	0	0
28	5.46829	5.65685	0	0	0
29	5.65685	5.84542	0	0	0

0	0.188562	0.377124	1.249	1.218	0.155758
1	0.377124	0.565685	4.584	2.73695	0.264508
2	0.565685	0.754247	6.4835	5.58643	0.414426
3	0.754247	0.942809	10.4165	7.12317	0.51655
4	0.942809	1.13137	12.2935	9.9536	0.547889
5	1.13137	1.31993	11.3905	11.2542	0.58996
6	1.31993	1.50849	11.4865	16.3652	3.26524
7	1.50849	1.69706	11.8975	12.6893	0.699429
8	1.69706	1.88562	7.1995	10.3999	0.400739
9	1.88562	2.07418	7.307	9.46912	0.500748
10	2.07418	2.26274	7.565	7.38221	0.424973
11	2.26274	2.4513	4.348	5.00462	0.390649
12	2.4513	2.63987	3.998	3.47857	0.242448
13	2.63987	2.82843	2.586	2.08767	0.149844
14	2.82843	3.01699	1.2585	1.53329	0.154117
15	3.01699	3.20555	1.7	0.645952	0.0815391
16	3.20555	3.39411	0.901	0.315143	0.0495333
17	3.39411	3.58267	0.7815	0.232357	0.0484083
18	3.58267	3.77124	0.3745	0.108071	0.0297727
19	3.77124	3.9598	0.0555	0.097	0.0405665
20	3.9598	4.14836	0.018	0.0275952	0.0111294
21	4.14836	4.33692	0	0.046619	0.0280891
22	4.33692	4.52548	0	0.0142857	0.00770499
23	4.52548	4.71405	0	0.00457143	0.00446126
24	4.71405	4.90261	0	0	0
25	4.90261	5.09117	0	0	0
26	5.09117	5.27973	0	0	0
27	5.27973	5.46829	0	0	0
28	5.46829	5.65685	0	0	0
29	5.65685	5.84542	0	0	0

0	0.188562	0.377124	1.2235	1.21825	0.148679
1	0.377124	0.565685	4.5395	2.81889	0.264871
2	0.565685	0.754247	6.497	5.62782	0.39765
3	0.754247	0.942809	5.399	7.0448	0.498981
4	0.942809	1.13137	11.5755	10.0273	0.527921
5	1.13137	1.31993	12.93	11.3304	0.56804
6	1.31993	1.50849	13.812	16.2492	3.11888
7	1.50849	1.69706	12.4115	12.6767	0.66775
8	1.69706	1.88562	8.549	10.3158	0.391255
9	1.88562	2.07418	7.5625	9.38245	0.485428
10	2.07418	2.26274	6.351	7.33534	0.408233
11	2.26274	2.4513	6.1595	5.05711	0.376403
12	2.4513	2.63987	3.038	3.45855	0.232253
13	2.63987	2.82843	2.968	2.12768	0.14828
14	2.82843	3.01699	1.8665	1.54843	0.147854
15	3.01699	3.20555	1.583	0.688545	0.088259
16	3.20555	3.39411	0.9225	0.34275	0.0544342
17	3.39411	3.58267	0.371	0.238659	0.0466163
18	3.58267	3.77124	0.1185	0.108545	0.0284232
19	3.77124	3.9598	0.0145	0.09325	0.0388955
20	3.9598	4.14836	0.0185	0.0271818	0.0106312
21	4.14836	4.33692	0.03	0.0458636	0.0268225
22	4.33692	4.52548	0.0125	0.0142045	0.00735519
23	4.52548	4.71405	0.0155	0.00506818	0.00428604
24	4.71405	4.90261	0	0	0
25	4.90261	5.09117	0	0	0
26	5.09117	5.27973	0	0	0
27	5.27973	5.46829	0	0	0
28	5.46829	5.65685	0	0	0
29	5.65685	5.84542	0	0	0

0	0.188562	0.377124	1.5015	1.23057	0.142723
1	0.377124	0.565685	2.806	2.81833	0.253356
2	0.565685	0.754247	5.954	5.642	0.380613
3	0.754247	0.942809	6.768	7.03276	0.477431
4	0.942809	1.13137	10.948	10.0673	0.506484
5	1.13137	1.31993	12.4835	11.3805	0.54555
6	1.31993	1.50849	13.999	16.1513	2.98481
7	1.50849	1.69706	9.1235	12.5222	0.656345
8	1.69706	1.88562	8.8545	10.2522	0.379367
9	1.88562	2.07418	9.0825	9.36941	0.464498
10	2.07418	2.26274	5.9045	7.27313	0.395195
11	2.26274	2.4513	6.1765	5.10578	0.36317
12	2.4513	2.63987	6.132	3.57478	0.249552
13	2.63987	2.82843	3.745	2.198	0.157627
14	2.82843	3.01699	2.7845	1.60217	0.150877
15	3.01699	3.20555	0.921	0.698652	0.0849984
16	3.20555	3.39411	0.103	0.332326	0.0530562
17	3.39411	3.58267	0.093	0.232326	0.0450176
18	3.58267	3.77124	0.055	0.106217	0.0272825
19	3.77124	3.9598	0.0415	0.091	0.0372694
20	3.9598	4.14836	0	0.026	0.0102345
21	4.14836	4.33692	0	0.0438696	0.0257303
22	4.33692	4.52548	0	0.013587	0.00706128
23	4.52548	4.71405	0	0.00484783	0.00410535
24	4.71405	4.90261	0	0	0
25	4.90261	5.09117	0	0	0
26	5.09117	5.27973	0	0	0
27	5.27973	5.46829	0	0	0
28	5.46829	5.65685	0	0	0
29	5.65685	5.84542	0	0	0

0	0.188562	0.377124	2.2325	1.27231	0.142752
1	0.377124	0.565685	3.602	2.85098	0.244895
2	0.565685	0.754247	4.354	5.58833	0.368519
3	0.754247	0.942809	9.488	7.13506	0.46837
4	0.942809	1.13137	11.1195	10.1112	0.487274
5	1.13137	1.31993	10.8835	11.3598	0.523212
6	1.31993	1.50849	10.406	15.9119	2.87003
7	1.50849	1.69706	11.12	12.4637	0.631592
8	1.69706	1.88562	9.9505	10.2396	0.363768
9	1.88562	2.07418	7.0535	9.27292	0.455057
10	2.07418	2.26274	8.5135	7.32481	0.382093
11	2.26274	2.4513	6.791	5.176	0.354761
12	2.4513	2.63987	5.1855	3.6419	0.248015
13	2.63987	2.82843	3.4605	2.2506	0.159596
14	2.82843	3.01699	1.8575	1.61281	0.144965
15	3.01699	3.20555	0.6195	0.695354	0.0815207
16	3.20555	3.39411	0.346	0.332896	0.0508485
17	3.39411	3.58267	0.271	0.233937	0.0431707
18	3.58267	3.77124	0.3245	0.115313	0.0276202
19	3.77124	3.9598	0.034	0.088625	0.0357921
20	3.9598	4.14836	0.0145	0.0255208	0.00981926
21	4.14836	4.33692	0	0.0420417	0.024723
22	4.33692	4.52548	0	0.0130208	0.00678972
23	4.52548	4.71405	0	0.00464583	0.00393926
24	4.71405	4.90261	0	0	0
25	4.90261	5.09117	0	0	0
26	5.09117	5.27973	0	0	0
27	5.27973	5.46829	0	0	0
28	5.46829	5.65685	0	0	0
29	5.65685	5.84542	0	0	0

0	0.188562	0.377124	1.105	1.26562	0.137198
1	0.377124	0.565685	2.168	2.82366	0.236618
2	0.565685	0.754247	7.451	5.66284	0.361231
3	0.754247	0.942809	7.495	7.14946	0.449856
4	0.942809	1.13137	10.336	10.1202	0.467866
5	1.13137	1.31993	10.308	11.3177	0.503972
6	1.31993	1.50849	13.321	15.8083	2.7571
7	1.50849	1.69706	9.5955	12.349	0.616661
8	1.69706	1.88562	12.9055	10.3463	0.364512
9	1.88562	2.07418	9.168	9.26872	0.436874
10	2.07418	2.26274	7.021	7.31266	0.367003
11	2.26274	2.4513	7.048	5.25088	0.348384
12	2.4513	2.63987	4.222	3.6651	0.239177
13	2.63987	2.82843	1.713	2.2291	0.154654
14	2.82843	3.01699	1.9605	1.62672	0.139832
15	3.01699	3.20555	1.078	0.71066	0.0796838
16	3.20555	3.39411	0.418	0.3363	0.0489284
17	3.39411	3.58267	0.168	0.2313	0.0415244
18	3.58267	3.77124	0.0885	0.11424	0.0265362
19	3.77124	3.9598	0.046	0.08692	0.034401
20	3.9598	4.14836	0.057	0.02678	0.00950689
21	4.14836	4.33692	0	0.04036	0.0237912
22	4.33692	4.52548	0	0.0125	0.00653807
23	4.52548	4.71405	0	0.00446	0.00378607
24	4.71405	4.90261	0	0	0
25	4.90261	5.09117	0	0	0
26	5.09117	5.27973	0	0	0
27	5.27973	5.46829	0	0	0
28	5.46829	5.65685	0	0	0
29	5.65685	5.84542	0	0	0

0	0.188562	0.377124	1.463	1.27321	0.132131
1	0.377124	0.565685	3.4645	2.84831	0.228797
2	0.565685	0.754247	5.6165	5.66106	0.347342
3	0.754247	0.942809	7.0645	7.14619	0.432566
4	0.942809	1.13137	12.1995	10.2002	0.456655
5	1.13137	1.31993	11.373	11.3199	0.484593
6	1.31993	1.50849	13.485	15.7189	2.6525
7	1.50849	1.69706	9.087	12.2236	0.605571
8	1.69706	1.88562	9.4025	10.31	0.352295
9	1.88562	2.07418	6.6665	9.16863	0.431383
10	2.07418	2.26274	6.614	7.28579	0.35387
11	2.26274	2.4513	7.452	5.33554	0.345117
12	2.4513	2.63987	5.7035	3.7435	0.242487
13	2.63987	2.82843	4.239	2.3064	0.166911
14	2.82843	3.01699	1.6955	1.62937	0.134479
15	3.01699	3.20555	1.476	0.740096	0.0818758
16	3.20555	3.39411	0.448	0.340596	0.0472348
17	3.39411	3.58267	0.419	0.238519	0.04055
18	3.58267	3.77124	0.116	0.114308	0.0255157
19	3.77124	3.9598	0	0.0835769	0.0332399
20	3.9598	4.14836	0	0.02575	0.00919686
21	4.14836	4.33692	0	0.0388077	0.0229268
22	4.33692	4.52548	0	0.0120192	0.00630426
23	4.52548	4.71405	0	0.00428846	0.00364434
24	4.71405	4.90261	0	0	0
25	4.90261	5.09117	0	0	0
26	5.09117	5.27973	0	0	0
27	5.27973	5.46829	0	0	0
28	5.46829	5.65685	0	0	0
29	5.65685	5.84542	0	0	0

0	0.188562	0.377124	1.2365	1.27185	0.127245
1	0.377124	0.565685	5.457	2.94493	0.239858
2	0.565685	0.754247	7.2525	5.72	0.339442
3	0.754247	0.942809	8.7995	7.20743	0.420857
4	0.942809	1.13137	11.217	10.2378	0.441292
5	1.13137	1.31993	10.405	11.286	0.467829
6	1.31993	1.50849	10.3105	15.5186	2.56181
7	1.50849	1.69706	9.358	12.1174	0.59237
8	1.69706	1.88562	10.988	10.3351	0.340141
9	1.88562	2.07418	7.039	9.08976	0.422555
10	2.07418	2.26274	8.401	7.32709	0.343165
11	2.26274	2.4513	6.1435	5.36546	0.33363
12	2.4513	2.63987	4.0785	3.75591	0.233824
13	2.63987	2.82843	3.158	2.33794	0.163682
14	2.82843	3.01699	1.5105	1.62496	0.12957
15	3.01699	3.20555	0.9935	0.749481	0.0793794
16	3.20555	3.39411	0.07	0.330574	0.0465364
17	3.39411	3.58267	0.5555	0.250259	0.0407122
18	3.58267	3.77124	0.8405	0.141204	0.0360599
19	3.77124	3.9598	0.162	0.0864815	0.0321355
20	3.9598	4.14836	0	0.0247963	0.00890555
21	4.14836	4.33692	0	0.0373704	0.0221226
22	4.33692	4.52548	0	0.0115741	0.00608647
23	4.52548	4.71405	0	0.00412963	0.00351282
24	4.71405	4.90261	0	0	0
25	4.90261	5.09117	0	0	0
26	5.09117	5.27973	0	0	0
27	5.27973	5.46829	0	0	0
28	5.46829	5.65685	0	0	0
29	5.65685	5.84542	0	0	0

0	0.188562	0.377124	0.9125	1.25902	0.123346
1	0.377124	0.565685	3.8815	2.97838	0.233612
2	0.565685	0.754247	6.2425	5.73866	0.327831
3	0.754247	0.942809	8.6715	7.25971	0.409062
4	0.942809	1.13137	12.6955	10.3256	0.434173
5	1.13137	1.31993	11.581	11.2965	0.451239
6	1.31993	1.50849	11.794	15.3856	2.47377
7	1.50849	1.69706	13.2285	12.1571	0.572542
8	1.69706	1.88562	10.3405	10.3353	0.327993
9	1.88562	2.07418	9.2985	9.09721	0.40753
10	2.07418	2.26274	5.158	7.24962	0.339541
11	2.26274	2.4513	5.3525	5.365	0.321715
12	2.4513	2.63987	2.4715	3.71004	0.229928
13	2.63987	2.82843	1.468	2.30688	0.160758
14	2.82843	3.01699	1.7295	1.6287	0.124997
15	3.01699	3.20555	0.7065	0.747946	0.0765593
16	3.20555	3.39411	0.377	0.332232	0.0449039
17	3.39411	3.58267	0.0425	0.242839	0.0399286
18	3.58267	3.77124	0.4475	0.152143	0.0363935
19	3.77124	3.9598	0.2225	0.0913393	0.0313528
20	3.9598	4.14836	0.5885	0.0449286	0.0215541
21	4.14836	4.33692	0.384	0.04975	0.0245532
22	4.33692	4.52548	0.0585	0.01325	0.00609546
23	4.52548	4.71405	0.174	0.0101964	0.00685316
24	4.71405	4.90261	0.1095	0.00391071	0.00384025
25	4.90261	5.09117	0	0	0
26	5.09117	5.27973	0	0	0
27	5.27973	5.46829	0	0	0
28	5.46829	5.65685	0	0	0
29	5.65685	5.84542	0	0	0

0	0.188562	0.377124	0.97	1.24905	0.119494
1	0.377124	0.565685	3.7385	3.00459	0.227022
2	0.565685	0.754247	7.5715	5.80186	0.322562
3	0.754247	0.942809	10.5835	7.37433	0.410699
4	0.942809	1.13137	12.423	10.3979	0.425183
5	1.13137	1.31993	11.3935	11.2999	0.435691
6	1.31993	1.50849	10.3365	15.2115	2.39459
7	1.50849	1.69706	10.2365	12.0909	0.556616
8	1.69706	1.88562	12.1075	10.3964	0.322326
9	1.88562	2.07418	7.984	9.05883	0.395281
10	2.07418	2.26274	5.234	7.18012	0.334871
11	2.26274	2.4513	5.677	5.37576	0.310801
12	2.4513	2.63987	2.7995	3.67864	0.224133
13	2.63987	2.82843	2.0905	2.29941	0.155388
14	2.82843	3.01699	1.2275	1.61486	0.121449
15	3.01699	3.20555	1.3585	0.769	0.0767596
16	3.20555	3.39411	0.199	0.327638	0.0435899
17	3.39411	3.58267	0.005	0.234638	0.039385
18	3.58267	3.77124	0.25	0.155517	0.0352947
19	3.77124	3.9598	0.057	0.0901552	0.030294
20	3.9598	4.14836	0.561	0.0627241	0.0271818
21	4.14836	4.33692	0.0915	0.0511897	0.0237487
22	4.33692	4.52548	0.163	0.0184138	0.00777057
23	4.52548	4.71405	0.6555	0.0324483	0.0228441
24	4.71405	4.90261	0.201	0.0107069	0.00763828
25	4.90261	5.09117	0	0	0
26	5.09117	5.27973	0	0	0
27	5.27973	5.46829	0	0	0
28	5.46829	5.65685	0	0	0
29	5.65685	5.84542	0	0	0

0	0.188562	0.377124	1.218	1.24802	0.115516
1	0.377124	0.565685	3.439	3.01907	0.219916
2	0.565685	0.754247	6.598	5.8284	0.312899
3	0.754247	0.942809	13.2085	7.5688	0.440653
4	0.942809	1.13137	10.7405	10.4093	0.411164
5	1.13137	1.31993	11.2505	11.2982	0.421171
6	1.31993	1.50849	8.9565	15.003	2.32383
7	1.50849	1.69706	11.696	12.0777	0.538218
8	1.69706	1.88562	8.5925	10.3363	0.31714
9	1.88562	2.07418	6.369	8.96917	0.392142
10	2.07418	2.26274	7.318	7.18472	0.32374
11	2.26274	2.4513	5.792	5.38963	0.300751
12	2.4513	2.63987	4.3985	3.70263	0.217943
13	2.63987	2.82843	2.923	2.3202	0.151592
14	2.82843	3.01699	1.4525	1.60945	0.117522
15	3.01699	3.20555	1.3875	0.789617	0.0769198
16	3.20555	3.39411	1.045	0.35155	0.0482519
17	3.39411	3.58267	0.2595	0.235467	0.0380809
18	3.58267	3.77124	0.613	0.170767	0.0372672
19	3.77124	3.9598	0.11	0.0908167	0.0292914
20	3.9598	4.14836	0.0675	0.0628833	0.0262763
21	4.14836	4.33692	0.0025	0.0495667	0.0230125
22	4.33692	4.52548	0.003	0.0179	0.00752852
23	4.52548	4.71405	0.1995	0.0380167	0.0227512
24	4.71405	4.90261	0.07	0.0126833	0.0076351
25	4.90261	5.09117	0.0305	0.00101667	0.000999579
26	5.09117	5.27973	0	0	0
27	5.27973	5.46829	0	0	0
28	5.46829	5.65685	0	0	0
29	5.65685	5.84542	0	0	0

